RARITY|ID|NAME|PREREQUISITE|DESCRIPTION
5|ven|VenBright||Designer and project lead! Check him out @Ven_Bright
5|jakobe|Jakobe||Programmer and Scripter! Check him out @JVidalGD
5|hinus|Hinus||Artist! Designed the Genie's face! Check him out @
5|sans|?????||??????????????????
4|parks|Ron Swanson's Permit||With it, you can do whatever you want.
2|fetchland|Fetchland||This card allows you to draw "The Retrievelands"
3|fetchland2|The Retrievelands||Oh! You brought it back! Good dog!!!
5|heartofthecards|The Heart of the Cards||You're not really supposed to see this. Secret.
5|barkmagician|The Bark Magician||The Ultimate Wizard in terms of Offense and Defense
5|nincodeno|Nincodeno||Programmer and Discord Bot Maker! Check him out @
2|comma|A Single Comma||AW CRAP WAIT THIS IS GONNA RUIN EVERY-
5|getout|Get Out of Genie Free Card||NOOOO YOU HAVE DEFEATED ME NOoOooOOooOooOo
1|fool|The Fool||Dipshit what gotta go on a journey. Maybe not become a dipshit idk
1|magician|The Magician||Will you become something special or just stay a dipshit
1|hpriestess|The High Priestess||What will you learn? Or will you learn nothing? Or learn about 'nothing'?
1|empress|The Empress||Time is limited. You must hurry, or your dreams will be left undone
1|emperor|The Emperor||You may meet a mentor, a friend, a foe. Or all 3. At once.
2|hierophant|The Hierophant||People may come to your aid, or leave you hanging. Will you depend on them?
2|lovers|The Lovers||Intimacy may lead to greater vulnerabilities. Is it worth the risk?
2|chariot|The Chariot||Will you squash those in your path, lost little dipshit? Trample them?
2|justice|Justice||Will society side with your actions, tiny dipshit? Or must you run in the shadows towards your goal?
2|hermit|The Hermit||Do you sense betrayal? Has intimacy failed you? Or do the patterns exist only in your eyes? 
2|wof|The Wheel Of Fortune||Does your journey begin and end in wealth? Posessions? Because, if so, lmao
3|strength|Strength||Does your journey start and stop with power? Influence? Because, if true? Come on now.
3|hangedman|The Hanged Man||You probably won't literally be hung, but like, learning to not be a dipshit ain't the easiest thing.
3|death|~*DEATH*~||Okay so realtalk, everyone who sees this thinks OH NO SKULL but actually it's just about a major change to the status quo not literal death. More of a point of no return situation, honestly wait where are you going come back
3|temperance|Temperance||Please, do not overspend, just, in general. Retail therapy is nice credit card bills are not 
4|devil|The Devil||Now, this one on the other hand, is largely kinda what'd you expect from a card with a christian devil on it. 
4|tower|The Tower||When a tower comes crumbling down, avoid the debris, and the shockwave it causes in the air
4|star|The Star||A guiding light, yet impossibly far. Inspirational, yet tragic, don't you agree?
4|moon|The Moon||Complacency is your biggest enemy. Do not allow the moon's glow to distract you from the surrounding darkness. 
4|sun|The Sun||You're there. You're getting there. It surrounds you, but is it what you desired from the start? Want, or need?
5|judgment|Judgment||You will be judged on your current dipshit-status. I hope you've grown. I'm proud of you, either way.
5|world|The World||No, we're not making that obvious joke. Go away
5|detail|This is my favorite detail||The fact he comes out of the card pack, god I think that's so clever -V
4|joker|The Joker||What a dick, right? Causing pranks. Convincing weebs Japan invented Jazz.
5|rulescard|Rules Card||No, we're not making *that* joke either. Stop it.
4|ace|The Ace||The Ace. What is it the Ace of? I don't know, I'm not a cop
3|nrokslug|nrok slug||a past recording of a nrok slug
4|rngenie|The RNGenie||He's sad because he's a cut character in this game
